date,views
2010-11-07,27262
2010-11-08,25661
2010-11-09,26567
2010-11-10,27095
2010-11-11,34572
2010-11-12,35189
2010-11-13,37496
2010-11-14,38958
2010-11-15,38899
2010-11-16,39479
2010-11-17,44823
2010-11-18,47217
2010-11-19,48503
2010-11-20,54348
2010-11-21,63029
2010-11-22,61624
2010-11-23,65324
2010-11-24,78490
2010-11-25,85171
2010-11-26,95304
2010-11-27,109431
2010-11-28,130830
2010-11-29,127664
2010-11-30,142217
2010-12-01,212495
2010-12-02,225955
2010-12-03,229279
2010-12-04,255561
2010-12-05,258113
2010-12-06,223412
2010-12-07,212876
2010-12-08,220759
2010-12-09,226995
2010-12-10,227009
2010-12-11,245656
2010-12-12,240824
2010-12-13,218650
2010-12-14,220289
2010-12-15,229113
2010-12-16,251152
2010-12-17,281700
2010-12-18,301404
2010-12-19,282321
2010-12-20,276810
2010-12-21,300047
2010-12-22,349198
2010-12-23,475030
2010-12-24,742482
2010-12-25,360915
2010-12-26,130774
2010-12-27,82626
2010-12-28,61542
2010-12-29,52747
2010-12-30,49537
2010-12-31,57760
2011-01-01,28122
2011-01-02,24236
2011-01-03,19277
2011-01-04,17964
2011-01-05,17091
2011-01-06,19427
2011-01-07,17515
2011-01-08,16007
2011-01-09,12626
2011-01-10,10217
2011-01-11,9903
2011-01-12,9165
2011-01-13,9576
2011-01-14,9979
2011-01-15,10734
2011-01-16,9281
2011-01-17,7678
2011-01-18,7075
2011-01-19,7725
2011-01-20,7460
2011-01-21,8277
2011-01-22,8456
2011-01-23,8655
2011-01-24,9159
2011-01-25,8887
2011-01-26,9548
2011-01-27,9758
2011-01-28,10781
2011-01-29,11996
2011-01-30,9980
2011-01-31,8331
2011-02-01,9350
2011-02-02,8914
2011-02-03,8514
2011-02-04,7658
2011-02-05,8423
2011-02-06,5790
2011-02-07,4628
2011-02-08,4870
2011-02-09,4761
2011-02-10,4868
2011-02-11,5199
2011-02-12,5885
2011-02-13,5198
2011-02-14,4595
2011-02-15,4460
2011-02-16,4422
2011-02-17,4174
2011-02-18,4673
2011-02-19,5325
2011-02-20,5157
2011-02-21,4224
2011-02-22,4043
2011-02-23,3977
2011-02-24,4817
2011-02-25,4462
2011-02-26,4622
2011-02-27,4078
2011-02-28,3727
2011-03-01,4004
2011-03-02,3900
2011-03-03,3968
2011-03-04,4341
2011-03-05,4837
2011-03-06,4385
2011-03-07,3671
2011-03-08,3677
2011-03-09,3680
2011-03-10,4062
2011-03-11,3612
2011-03-12,4203
2011-03-13,3766
2011-03-14,3684
2011-03-15,3596
2011-03-16,3933
2011-03-17,3976
2011-03-18,3797
2011-03-19,4171
2011-03-20,3725
2011-03-21,3261
